,tweet_id,text,query,user_id,user_name,follower_count,user_tweet_count,likes,retweets,location_name,latitude,longitude,user_location,date
2570,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,499457630,,153,784,0,26893,,NA,NA,CO,1/6/21
2571,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,1169976326,,147,4976,0,26893,,NA,NA,,1/6/21
2572,1.35E+18,i cannot overstate this the president is directing a coup attempt insurrectionists have forced the 2nd 3rd and 4th persons in the line of succession to shelter in place,president,299388018,,280,27676,0,1103,,NA,NA,OK,1/6/21
2573,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,66115322,,1895,37795,0,26893,,NA,NA,,1/6/21
2574,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,291780567,,778,41504,0,26893,,NA,NA,USA,1/6/21
2575,1.35E+18,many of us come from families who fled other countries where scenes like this were the norm but not in america never in america unthinkable until now these people arent protestors they are engaged in an insurrection incited by a lawless president,president,1.11E+18,,48,1241,0,1744,,NA,NA,CA,1/6/21
2576,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,614527290,,417,48483,0,26893,,NA,NA,,1/6/21
2577,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,297000256,,95,6059,0,26893,,NA,NA,,1/6/21
2578,1.35E+18,anyone elected to the house or senate who is challenging the results of the presidential election in congress are part of this attempted coup inspired by the president and they should resign this is an insurrection,president,43835528,,3126,57714,0,2885,,NA,NA,,1/6/21
2579,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,1354569800,,36,1046,0,26893,,NA,NA,,1/6/21
2580,1.35E+18,happening where leaders country were conducting appropriate transfer of power just couple hours ago our president incited a mob to raid the halls of our democracy trump said he would walk with them this would be what a coup insurrection if not usa wed be calling it that,president,58792543,,4133,85532,0,223,,NA,NA,,1/6/21
2581,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,55135236,,1155,8876,0,26893,,NA,NA,TX,1/6/21
2582,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,7.03E+17,,25,1806,0,26893,,NA,NA,IL,1/6/21
2583,1.35E+18,as senators were hustled into the capitol basement by uniformed police officers senator mitt romney republican of utah summoned a reporter this is what the president has caused today this insurrection romney said,president,8.23E+17,,1324,93354,0,2590,,NA,NA,,1/6/21
2584,1.35E+18,shots fired in the capital tear gas deployed in the capital and outside of it our law enforcement might have to kill american citizens domesticterrorists thank you president trump for your insurrection youre no leader you are a terrorist trumpterrorism capitol,president,3438377813,,5294,69218,0,112,,NA,NA,,1/6/21
2585,1.35E+18, summoned me as lawmakers and press arrived at a secure location this is what the president has caused today this insurrection he said w fury in his voice,president,496937149,,366,8808,0,26893,,NA,NA,AR,1/6/21
